Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
DE,Decisive Dividend Corp,Industrials,Conglomerates,EQUITY,,https://www.decisivedividend.com,https://logo.clearbit.com/decisivedividend.com,VAN,DECISIVE DIVIDEND CORPORATION,Decisive Dividend Corporation,ca_market,,52421848,DE.V,TSXV
DEAL,Playgon Games Inc,Technology,Software—Application,EQUITY,,https://www.playgon.com,https://logo.clearbit.com/playgon.com,VAN,PLAYGON GAMES INC,Playgon Games Inc.,ca_market,,26123476,DEAL.V,TSXV
DEC,Decade Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.decaderesources.ca,https://logo.clearbit.com/decaderesources.ca,VAN,DECADE RESOURCES LTD.,Decade Resources Ltd.,ca_market,,25400100,DEC.V,TSXV
DEF,Defiance Silver Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.defiancesilver.com,https://logo.clearbit.com/defiancesilver.com,VAN,DEFIANCE SILVER CORP,Defiance Silver Corp.,ca_market,,49551076,DEF.V,TSXV
DEFN,Defense Metals Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://defensemetals.com,https://logo.clearbit.com/defensemetals.com,VAN,DEFENSE METALS CORP,Defense Metals Corp.,ca_market,,17675438,DEFN.V,TSXV
DELX,Delphx Capital Markets Inc,Financial Services,Capital Markets,EQUITY,,https://www.delphx.com,https://logo.clearbit.com/delphx.com,VAN,DELPHX CAPITAL MARKETS INC,DelphX Capital Markets Inc.,ca_market,,16247980,DELX.V,TSXV
DEX,Almadex Minerals Ltd,Basic Materials,Gold,EQUITY,,https://www.almadexminerals.com,https://logo.clearbit.com/almadexminerals.com,VAN,ALMADEX MINERALS LTD,Almadex Minerals Ltd.,ca_market,,18175500,DEX.V,TSXV
DFR,Diamond Fields Resources Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.diamondfields.com,https://logo.clearbit.com/diamondfields.com,VAN,DIAMOND FIELDS RESOURCES INC,Diamond Fields Resources Inc.,ca_market,,8751853,DFR.V,TSXV
DG,Dixie Gold Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.dixiegold.ca,https://logo.clearbit.com/dixiegold.ca,VAN,DIXIE GOLD INC,Dixie Gold Inc.,ca_market,,1286860,DG.V,TSXV
DGHI,Digihost Technology Inc,Technology,Software—Application,EQUITY,,https://digihost.ca/docs/,https://logo.clearbit.com/digihost.ca,VAN,DIGIHOST TECHNOLOGY INC,Digihost Technology Inc.,ca_market,,23527824,DGHI.V,TSXV
DGL.P,Dgl Investments No 1 Inc,,,,,,,,,,,,,DGL.P.V,TSXV
